city,lat,temp,max temp,humidity,cloudiness,wind speed
Soyo,-6.13,87.8,87.8,74,20,10.29
Usinsk,66.0,27.72,27.72,90,88,10.09
Pontianak,-0.02,79.74,79.74,94,32,7.4
Fukue,35.03,57.85,60.01,93,75,6.93
Belaya Gora,68.54,-28.44,-28.44,45,0,3.6
Timbiqui,2.77,86.94,86.94,71,24,5.17
Pravda,43.16,51.4,53.6,58,90,5.82
Lac du Bonnet,50.25,41.67,41.67,93,0,11.43
Kaduqli,11.01,81.9,81.9,22,0,9.42
Kostino,41.7,57.2,57.2,54,90,8.05
Arman,59.7,0.09,0.09,71,80,2.93
Vao,59.1,35.82,35.82,97,92,8.86
Svirstroy,60.8,30.87,30.87,88,24,7.63
Nusaybin,37.08,55.54,57.2,76,40,4.7
Trairi,-3.28,77.49,77.49,100,92,7.18
Belyy Yar,53.6,17.6,17.6,78,0,4.47
San Luis,-33.3,76.77,76.77,33,0,13.67
Les Cayes,18.19,81.36,81.36,95,0,9.19
Kainantu,-6.29,63.54,63.54,99,88,0.58
Yilan,24.75,72.45,75.0,83,75,3.36
Manzhouli,49.6,13.5,13.5,53,36,5.61
Tautira,-17.73,77.0,77.0,94,75,4.7
Yerofey Pavlovich,53.97,4.77,4.77,56,44,3.71
Teluk Intan,4.02,78.35,78.8,94,75,2.24
Hami,42.84,29.16,29.16,67,0,4.38
Tabou,4.42,83.79,83.79,98,48,12.44
Bilibino,68.06,-17.46,-17.46,48,20,2.59
Quchan,37.11,36.0,36.0,100,92,1.81
Butler,41.43,43.14,45.0,81,90,4.7
Plum,40.5,49.26,52.0,49,75,4.7
Ati,13.21,87.39,87.39,25,0,4.72
Lazaro Cardenas,28.39,64.06,69.01,44,75,3.36
San Quintin,17.54,67.86,67.86,79,0,3.6
Ryotsu,38.08,52.2,52.2,95,92,17.25
Mackenzie,55.34,24.8,24.8,92,1,2.93
Egvekinot,66.32,-23.58,-23.58,33,48,2.37
Linjiang,41.81,16.38,16.38,70,56,7.07
